image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/86852702.jpg|Machina Redeployment|100.00%|3.00
https://images.ygoprodeck.com/images/cards/42940404.jpg|Machina Gearframe|100.00%|3.00
https://images.ygoprodeck.com/images/cards/10604644.jpg|"Therion ""King"" Regulus"|100.00%|2.00
https://images.ygoprodeck.com/images/cards/35645105.jpg|Infinitrack Harvester|100.00%|1.75
https://images.ygoprodeck.com/images/cards/36745317.jpg|Vernusylph of the Awakening Forests|100.00%|1.50
https://images.ygoprodeck.com/images/cards/13647631.jpg|Heavy Freight Train Derricrane|100.00%|1.50
https://images.ygoprodeck.com/images/cards/5556499.jpg|Machina Fortress|100.00%|1.25
https://images.ygoprodeck.com/images/cards/61912252.jpg|Infinitrack Trencher|100.00%|1.25
https://images.ygoprodeck.com/images/cards/52481437.jpg|Super Express Bullet Train|100.00%|1.00
https://images.ygoprodeck.com/images/cards/45674286.jpg|Machina Unclaspare|100.00%|1.00
https://images.ygoprodeck.com/images/cards/59741415.jpg|Machina Overdrive|100.00%|1.00
https://images.ygoprodeck.com/images/cards/87074380.jpg|Machina Citadel|100.00%|1.00
https://images.ygoprodeck.com/images/cards/97316367.jpg|Infinitrack Tunneller|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76830505.jpg|Infinitrack Brutal Dozer|100.00%|1.00
https://images.ygoprodeck.com/images/cards/60953949.jpg|Ancient Gear Box|100.00%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|75.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|75.00%|3.00
https://images.ygoprodeck.com/images/cards/34721681.jpg|Heavy Forward|75.00%|2.67
https://images.ygoprodeck.com/images/cards/25274141.jpg|Urgent Schedule|75.00%|2.33
https://images.ygoprodeck.com/images/cards/9350312.jpg|Vernusylph of the Flourishing Hills|75.00%|1.67
https://images.ygoprodeck.com/images/cards/46033517.jpg|Machina Ruinforce|75.00%|1.00
https://images.ygoprodeck.com/images/cards/69838761.jpg|Machina Metalcruncher|75.00%|1.00
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|50.00%|3.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|50.00%|1.50
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|50.00%|1.50
https://images.ygoprodeck.com/images/cards/4334811.jpg|Scrap Recycler|50.00%|1.00
https://images.ygoprodeck.com/images/cards/5205146.jpg|Infinitrack Road Roller|50.00%|1.00
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|50.00%|1.00
https://images.ygoprodeck.com/images/cards/81519836.jpg|Vernusylph of the Misting Seedlings|25.00%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|25.00%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|25.00%|3.00
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|25.00%|2.00
https://images.ygoprodeck.com/images/cards/9238125.jpg|Vernusylph of the Thawing Mountains|25.00%|1.00
https://images.ygoprodeck.com/images/cards/62133026.jpg|Vernusylph of the Flowering Fields|25.00%|1.00
https://images.ygoprodeck.com/images/cards/51916853.jpg|Magical Hound|25.00%|1.00
https://images.ygoprodeck.com/images/cards/62034800.jpg|Infinitrack Anchor Drill|25.00%|1.00
