image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|66.70%|2.67
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|55.60%|2.50
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|50.00%|2.44
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|38.90%|1.00
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|33.30%|2.00
https://images.ygoprodeck.com/images/cards/1149109.jpg|Deck Lockdown|27.80%|2.80
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|27.80%|1.40
https://images.ygoprodeck.com/images/cards/27240101.jpg|Kikinagashi Fucho|27.80%|1.00
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|27.80%|1.00
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|22.20%|3.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|22.20%|1.50
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|22.20%|1.00
https://images.ygoprodeck.com/images/cards/64664373.jpg|Metaltronus|16.70%|3.00
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|16.70%|3.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|16.70%|3.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|16.70%|2.67
https://images.ygoprodeck.com/images/cards/94423983.jpg|Simul Archfiends|16.70%|2.33
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|16.70%|1.67
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|16.70%|1.00
https://images.ygoprodeck.com/images/cards/82732705.jpg|Skill Drain|11.10%|3.00
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|11.10%|3.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|11.10%|2.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|11.10%|1.00
https://images.ygoprodeck.com/images/cards/45986603.jpg|Snatch Steal|11.10%|1.00
https://images.ygoprodeck.com/images/cards/38511382.jpg|Sinful Spoils of Betrayal - Silvera|11.10%|1.00
https://images.ygoprodeck.com/images/cards/66425726.jpg|Odd-Eyes Pendulumgraph Dragon|11.10%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|11.10%|1.00
https://images.ygoprodeck.com/images/cards/12014404.jpg|Gagaga Cowboy|11.10%|1.00
https://images.ygoprodeck.com/images/cards/83793721.jpg|Flowering Etoile the Melodious Magnificat|11.10%|1.00
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|11.10%|1.00
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|5.60%|3.00
https://images.ygoprodeck.com/images/cards/60643554.jpg|Ghost Sister & Spooky Dogwood|5.60%|3.00
https://images.ygoprodeck.com/images/cards/78661338.jpg|Fantastical Dragon Phantazmay|5.60%|3.00
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|5.60%|3.00
https://images.ygoprodeck.com/images/cards/35480699.jpg|Book of Eclipse|5.60%|3.00
https://images.ygoprodeck.com/images/cards/14558128.jpg|Ash Blossom & Joyous Spring|5.60%|3.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|5.60%|2.00
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|5.60%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|5.60%|2.00
https://images.ygoprodeck.com/images/cards/42141493.jpg|Mulcharmy Fuwalos|5.60%|2.00
https://images.ygoprodeck.com/images/cards/64964750.jpg|Sales Ban|5.60%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|5.60%|1.00
https://images.ygoprodeck.com/images/cards/72090076.jpg|Nemeses Corridor|5.60%|1.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|5.60%|1.00
https://images.ygoprodeck.com/images/cards/19613556.jpg|Heavy Storm|5.60%|1.00
https://images.ygoprodeck.com/images/cards/72656408.jpg|Bystial Baldrake|5.60%|1.00
https://images.ygoprodeck.com/images/cards/2411269.jpg|Agave Dragon|5.60%|1.00
https://images.ygoprodeck.com/images/cards/86066372.jpg|Accesscode Talker|5.60%|1.00
