image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/8267140.jpg|Cosmic Cyclone|64.30%|2.50
https://images.ygoprodeck.com/images/cards/15693423.jpg|Evenly Matched|50.00%|2.50
https://images.ygoprodeck.com/images/cards/18144507.jpg|Harpie's Feather Duster|46.40%|1.00
https://images.ygoprodeck.com/images/cards/83326048.jpg|Dimensional Barrier|42.90%|2.50
https://images.ygoprodeck.com/images/cards/58921041.jpg|Anti-Spell Fragrance|39.30%|2.82
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|39.30%|2.46
https://images.ygoprodeck.com/images/cards/14532163.jpg|Lightning Storm|39.30%|1.73
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|32.10%|2.67
https://images.ygoprodeck.com/images/cards/41420027.jpg|Solemn Judgment|28.60%|3.00
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|28.60%|2.50
https://images.ygoprodeck.com/images/cards/54693926.jpg|Dark Ruler No More|28.60%|2.00
https://images.ygoprodeck.com/images/cards/55063751.jpg|Gameciel, the Sea Turtle Kaiju|25.00%|2.43
https://images.ygoprodeck.com/images/cards/24508238.jpg|D.D. Crow|21.40%|2.67
https://images.ygoprodeck.com/images/cards/35269904.jpg|Triple Tactics Thrust|17.90%|1.40
https://images.ygoprodeck.com/images/cards/43534808.jpg|Token Collector|14.30%|2.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|14.30%|1.00
https://images.ygoprodeck.com/images/cards/82385847.jpg|Dinowrestler Pankratops|14.30%|1.00
https://images.ygoprodeck.com/images/cards/4031928.jpg|Change of Heart|14.30%|1.00
https://images.ygoprodeck.com/images/cards/43898403.jpg|Twin Twisters|10.70%|2.33
https://images.ygoprodeck.com/images/cards/35405755.jpg|Kurikara Divincarnate|10.70%|2.33
https://images.ygoprodeck.com/images/cards/33854624.jpg|Bystial Magnamhut|10.70%|2.33
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|10.70%|1.00
https://images.ygoprodeck.com/images/cards/6637331.jpg|Bystial Druiswurm|10.70%|1.00
https://images.ygoprodeck.com/images/cards/24207889.jpg|There Can Be Only One|7.10%|3.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|7.10%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|7.10%|2.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|7.10%|1.50
https://images.ygoprodeck.com/images/cards/4064256.jpg|Zombie World|7.10%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|7.10%|1.00
https://images.ygoprodeck.com/images/cards/66570171.jpg|Necroworld Banshee|7.10%|1.00
https://images.ygoprodeck.com/images/cards/5758500.jpg|Soul Release|3.60%|3.00
https://images.ygoprodeck.com/images/cards/60643553.jpg|Ghost Sister & Spooky Dogwood|3.60%|3.00
https://images.ygoprodeck.com/images/cards/31849106.jpg|Different Dimension Ground|3.60%|3.00
https://images.ygoprodeck.com/images/cards/12444060.jpg|Artifact Sanctum|3.60%|3.00
https://images.ygoprodeck.com/images/cards/32909498.jpg|Kashtira Fenrir|3.60%|2.00
https://images.ygoprodeck.com/images/cards/98045062.jpg|Enemy Controller|3.60%|2.00
https://images.ygoprodeck.com/images/cards/53129443.jpg|Dark Hole|3.60%|2.00
https://images.ygoprodeck.com/images/cards/79775821.jpg|Therion Stand Up!|3.60%|1.00
https://images.ygoprodeck.com/images/cards/12580477.jpg|Raigeki|3.60%|1.00
https://images.ygoprodeck.com/images/cards/37520316.jpg|Mind Control|3.60%|1.00
https://images.ygoprodeck.com/images/cards/65741786.jpg|I:P Masquerena|3.60%|1.00
https://images.ygoprodeck.com/images/cards/59900655.jpg|Gold Pride - Nytro Head|3.60%|1.00
https://images.ygoprodeck.com/images/cards/57624336.jpg|Archfiend Eccentrick|3.60%|1.00
