image|name|% of decks|count
https://images.ygoprodeck.com/images/cards/14513273.jpg|Supreme King Gate Magician|100.00%|3.00
https://images.ygoprodeck.com/images/cards/40318957.jpg|Performapal Skullcrobat Joker|100.00%|3.00
https://images.ygoprodeck.com/images/cards/14558127.jpg|Ash Blossom & Joyous Spring|100.00%|3.00
https://images.ygoprodeck.com/images/cards/72714461.jpg|Wisdom-Eye Magician|100.00%|2.97
https://images.ygoprodeck.com/images/cards/49684352.jpg|Double Iris Magician|100.00%|2.93
https://images.ygoprodeck.com/images/cards/23434538.jpg|"Maxx ""C"""|100.00%|2.86
https://images.ygoprodeck.com/images/cards/69610326.jpg|Supreme King Dragon Darkwurm|100.00%|2.07
https://images.ygoprodeck.com/images/cards/82190203.jpg|Wings of Light|100.00%|2.00
https://images.ygoprodeck.com/images/cards/96227613.jpg|Supreme King Gate Zero|100.00%|1.17
https://images.ygoprodeck.com/images/cards/81439173.jpg|Foolish Burial|100.00%|1.00
https://images.ygoprodeck.com/images/cards/76794549.jpg|Astrograph Sorcerer|100.00%|1.00
https://images.ygoprodeck.com/images/cards/41620959.jpg|Dragon Shrine|96.60%|2.68
https://images.ygoprodeck.com/images/cards/24224830.jpg|Called by the Grave|96.60%|1.96
https://images.ygoprodeck.com/images/cards/41908872.jpg|Supreme King Dragon Lightwurm|96.60%|1.14
https://images.ygoprodeck.com/images/cards/73941492.jpg|Harmonizing Magician|93.10%|2.04
https://images.ygoprodeck.com/images/cards/1344018.jpg|Time Pendulumgraph|89.70%|1.00
https://images.ygoprodeck.com/images/cards/65681983.jpg|Crossout Designator|89.70%|1.00
https://images.ygoprodeck.com/images/cards/74850403.jpg|Star Pendulumgraph|82.80%|1.00
https://images.ygoprodeck.com/images/cards/14920218.jpg|Oafdragon Magician|79.30%|1.09
https://images.ygoprodeck.com/images/cards/10045474.jpg|Infinite Impermanence|72.40%|2.43
https://images.ygoprodeck.com/images/cards/76840111.jpg|Soul of the Supreme Celestial King|31.00%|1.00
https://images.ygoprodeck.com/images/cards/14105623.jpg|Odd-Eyes Arc Pendulum Dragon|27.60%|1.00
https://images.ygoprodeck.com/images/cards/25311006.jpg|Triple Tactics Talent|24.10%|1.14
https://images.ygoprodeck.com/images/cards/97268402.jpg|Effect Veiler|20.70%|2.17
https://images.ygoprodeck.com/images/cards/94145021.jpg|Droll & Lock Bird|20.70%|1.50
https://images.ygoprodeck.com/images/cards/27204311.jpg|Nibiru, the Primal Being|17.20%|1.40
https://images.ygoprodeck.com/images/cards/5560911.jpg|Destrudo the Lost Dragon's Frisson|17.20%|1.00
https://images.ygoprodeck.com/images/cards/48461764.jpg|Purple Poison Magician|13.80%|1.25
https://images.ygoprodeck.com/images/cards/55795155.jpg|Pendulum Evolution|13.80%|1.00
https://images.ygoprodeck.com/images/cards/52038441.jpg|Ghost Mourner & Moonlit Chill|10.30%|1.33
https://images.ygoprodeck.com/images/cards/22211622.jpg|Supreme King Gate Infinity|10.30%|1.00
https://images.ygoprodeck.com/images/cards/1845204.jpg|Instant Fusion|10.30%|1.00
https://images.ygoprodeck.com/images/cards/48130397.jpg|Super Polymerization|6.90%|2.00
https://images.ygoprodeck.com/images/cards/49568943.jpg|Vaylantz World - Shinra Bansho|6.90%|1.00
https://images.ygoprodeck.com/images/cards/75952542.jpg|Vaylantz World - Konig Wissen|6.90%|1.00
https://images.ygoprodeck.com/images/cards/18144506.jpg|Harpie's Feather Duster|6.90%|1.00
https://images.ygoprodeck.com/images/cards/37469904.jpg|Duelist Alliance|6.90%|1.00
https://images.ygoprodeck.com/images/cards/12289247.jpg|Chronograph Sorcerer|6.90%|1.00
https://images.ygoprodeck.com/images/cards/23002292.jpg|Red Reboot|3.40%|1.00
https://images.ygoprodeck.com/images/cards/47075569.jpg|Performapal Pendulum Sorcerer|3.40%|1.00
https://images.ygoprodeck.com/images/cards/58092907.jpg|Performapal Celestial Magician|3.40%|1.00
https://images.ygoprodeck.com/images/cards/38814750.jpg|PSY-Framegear Gamma|3.40%|1.00
https://images.ygoprodeck.com/images/cards/49036338.jpg|PSY-Frame Driver|3.40%|1.00
https://images.ygoprodeck.com/images/cards/16178681.jpg|Odd-Eyes Pendulum Dragon|3.40%|1.00
https://images.ygoprodeck.com/images/cards/59438930.jpg|Ghost Ogre & Snow Rabbit|3.40%|1.00
https://images.ygoprodeck.com/images/cards/73642296.jpg|Ghost Belle & Haunted Mansion|3.40%|1.00
https://images.ygoprodeck.com/images/cards/24299458.jpg|Forbidden Droplet|3.40%|1.00
https://images.ygoprodeck.com/images/cards/75672051.jpg|Black Fang Magician|3.40%|1.00
